timestamp,eval_id,suite,case,phase,git_commit,source_dirty,model,status,assertions_passed,assertions_total,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,total_tokens,duration_ms,report,workflow_id,run_id,verify_score,verify_checks_passed,verify_checks_total,verify_checks_failed,verify_pass_rate,verify_avg_diff_ratio,verify_max_diff_ratio,verify_issues_critical,verify_issues_major,verify_issues_minor,verify_initial_score,verify_score_delta,verify_story_ids,verify_reference_urls,verify_breakpoints,verify_thresholds_json,verify_checks_json,cli,cache_write_input_tokens,usage_source,usage_scope,subagent_count,subagent_input_tokens,subagent_output_tokens,reasoning_effort,evidence_dir
"2026-09-06T21:43:34.526Z","eval-PBQ-2026-09-06T21:39:39","drupal-petshop","vision","main","b9a36617404e93c82bebcde7b74305f251c7149d","true","gpt-5.6-luna","pass","10","10","1163135","1079552","83583","10156","2421","1173291","234232","promptfoo/reports/promptfoo-only-vision-20260906-r3/main.json","vision","promptfoo/reports/promptfoo-only-vision-20260906-r3","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-06T21:45:07.279Z","eval-TLz-2026-09-06T21:26:19","drupal-petshop","vision","main","","","gpt-5.6-luna","fail","8","10","1031743","934912","96831","10374","2646","1042117","259933","promptfoo/reports/promptfoo-only-vision-20260906/main.json","vision","promptfoo/reports/promptfoo-only-vision-20260906","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-06T21:45:07.353Z","eval-oEi-2026-09-06T21:31:46","drupal-petshop","vision","main","","","gpt-5.6-luna","fail","8","10","1227478","1156864","70614","10719","3124","1238197","273940","promptfoo/reports/promptfoo-only-vision-20260906-r2/main.json","vision","promptfoo/reports/promptfoo-only-vision-20260906-r2","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-06T22:22:02.202Z","eval-amj-2026-09-06T22:06:52","drupal-web","design-shell","main","5b963aebcd17986b3925a76bd94fdb111f0ca6f1","true","gpt-5.6-luna","fail","4","7","9483047","9242752","240295","38312","8020","9521359","908938","promptfoo/reports/automatic-shell-verify-20260907/main.json","design-shell","promptfoo/reports/automatic-shell-verify-20260907","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-06T22:37:07.641Z","eval-wRX-2026-09-06T22:22:05","drupal-web","design-shell","verify","5b963aebcd17986b3925a76bd94fdb111f0ca6f1","true","gpt-5.6-luna","fail","1","3","10617593","10196992","420601","33777","14396","10651370","901146","promptfoo/reports/automatic-shell-verify-20260907/verify.json","design-verify","promptfoo/reports/automatic-shell-verify-20260907","4","2","4","2","0.5","0.090975","0.1841","0","2","0","4","0","[""designbook-design-system-scenes--shell""]","[""https://leando.de/""]","[""sm"",""xl""]","[{""story_id"":""designbook-design-system-scenes--shell"",""threshold_ratio"":0.03}]","[{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""header"",""score"":0,""passed"":true,""diff_ratio"":0.0086,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""header"",""score"":0,""passed"":true,""diff_ratio"":0.0064,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""footer"",""score"":2,""passed"":false,""diff_ratio"":0.1841,""critical"":0,""major"":1,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""footer"",""score"":2,""passed"":false,""diff_ratio"":0.1648,""critical"":0,""major"":1,""minor"":0}]","codex","0","","","","","","",""
"2026-09-06T23:26:47.678Z","eval-iy3-2026-09-06T23:01:24","drupal-web","design-shell","main","41d10ad57cd7f1372b7c09dba6a0846828382a2e","false","gpt-5.6-luna","pass","7","7","18673374","18364032","309342","58183","15135","18731557","1521319","promptfoo/reports/codex-shell-20260907/main.json","design-shell","promptfoo/reports/codex-shell-20260907","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-06T23:37:43.379Z","eval-zKg-2026-09-06T23:26:51","drupal-web","design-shell","verify","41d10ad57cd7f1372b7c09dba6a0846828382a2e","false","gpt-5.6-luna","fail","2","3","4402053","4228864","173189","27596","7453","4429649","647909","promptfoo/reports/codex-shell-20260907/verify.json","design-verify","promptfoo/reports/codex-shell-20260907","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-06T23:50:39.033Z","eval-QHw-2026-09-06T23:01:24","drupal-web","design-shell","main","41d10ad57cd7f1372b7c09dba6a0846828382a2e","false","claude-opus-5","pass","7","7","82760031","82253116","506915","193574","55679","82953605","2953455","promptfoo/reports/opus-shell-20260907/main.json","design-shell","promptfoo/reports/opus-shell-20260907","","","","","","","","","","","","","","","","","","claude","506351","","","","","","",""
"2026-09-07T00:04:06.985Z","eval-67T-2026-09-06T23:50:42","drupal-web","design-shell","verify","41d10ad57cd7f1372b7c09dba6a0846828382a2e","false","claude-opus-5","fail","2","3","8271148","8102033","169115","57011","13826","8328159","803577","promptfoo/reports/opus-shell-20260907/verify.json","design-verify","promptfoo/reports/opus-shell-20260907","20","4","6","2","0.6666666666666666","0.061616666666666674","0.1883","0","10","0","20","0","[""designbook-design-system-scenes--shell""]","[""https://leando.de/""]","[""sm"",""xl""]","[{""story_id"":""designbook-design-system-scenes--shell"",""threshold_ratio"":0.03}]","[{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""scene-header"",""score"":0,""passed"":true,""diff_ratio"":0.0045,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""scene-header"",""score"":0,""passed"":true,""diff_ratio"":0.0199,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""scene-header"",""score"":0,""passed"":true,""diff_ratio"":0.0038,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""scene-header"",""score"":0,""passed"":true,""diff_ratio"":0.0176,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""scene-footer"",""score"":10,""passed"":false,""diff_ratio"":0.1883,""critical"":0,""major"":5,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""scene-footer"",""score"":10,""passed"":false,""diff_ratio"":0.1356,""critical"":0,""major"":5,""minor"":0}]","claude","168967","","","","","","",""
"2026-09-07T06:30:14.300Z","eval-SpE-2026-09-07T06:12:01","drupal-petshop","design-component","main","b1bd5bb9ff694604e8c3b32a3b0cfc98a1f1c50e","true","gpt-5.6-luna","fail","20","21","9809511","9426688","382823","41012","11359","9850523","1092357","assets-ai/DESIGNBOOK-57/merge-component/main.json","design-component","assets-ai/DESIGNBOOK-57/merge-component","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T06:59:22.292Z","eval-998-2026-09-07T06:45:44","drupal-petshop","design-shell","main","9be439bd373596de7c9470251a555e564af60116","true","gpt-5.6-luna","fail","0","0","","","","","","","817746","assets-ai/DESIGNBOOK-57/fixes/design-shell/main.json","design-shell","assets-ai/DESIGNBOOK-57/fixes/design-shell","","","","","","","","","","","","","","","","","","codex","","","","","","","",""
"2026-09-07T07:00:09.087Z","eval-DTF-2026-09-07T06:46:36","drupal-petshop","design-shell-update","main","9be439bd373596de7c9470251a555e564af60116","true","gpt-5.6-luna","pass","5","5","12355208","12069632","285576","30727","7981","12385935","812866","assets-ai/DESIGNBOOK-57/fixes/design-shell-update/main.json","design-shell-update","assets-ai/DESIGNBOOK-57/fixes/design-shell-update","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T07:00:36.142Z","eval-LxA-2026-09-07T06:47:14","drupal-petshop","design-component-update","main","9be439bd373596de7c9470251a555e564af60116","true","gpt-5.6-luna","fail","0","0","","","","","","","802001","assets-ai/DESIGNBOOK-57/fixes/design-component-update/main.json","design-component-update","assets-ai/DESIGNBOOK-57/fixes/design-component-update","","","","","","","","","","","","","","","","","","codex","","","","","","","",""
"2026-09-07T07:14:20.573Z","eval-aeE-2026-09-07T06:55:01","drupal-petshop","design-shell","main","6ec151f883bcb037545292c36294e570a965176e","true","gpt-5.6-luna","fail","0","0","","","","","","","1158972","assets-ai/DESIGNBOOK-57/fixes/design-shell-retry/main.json","design-shell","assets-ai/DESIGNBOOK-57/fixes/design-shell-retry","","","","","","","","","","","","","","","","","","codex","","","","","","","",""
"2026-09-07T07:14:20.576Z","eval-6AU-2026-09-07T07:00:38","drupal-petshop","design-component-update","main","049b803fe96ee28548c72f9524b3a3769b92f0f8","true","gpt-5.6-luna","fail","0","0","","","","","","","822359","assets-ai/DESIGNBOOK-57/fixes/design-component-update-retry/main.json","design-component-update","assets-ai/DESIGNBOOK-57/fixes/design-component-update-retry","","","","","","","","","","","","","","","","","","codex","","","","","","","",""
"2026-09-07T07:20:25.345Z","eval-fzC-2026-09-07T07:05:22","drupal-petshop","design-shell-update","main","049b803fe96ee28548c72f9524b3a3769b92f0f8","true","gpt-5.6-luna","fail","0","0","","","","","","","902784","assets-ai/DESIGNBOOK-57/fixes/design-shell-update-retry/main.json","design-shell-update","assets-ai/DESIGNBOOK-57/fixes/design-shell-update-retry","","","","","","","","","","","","","","","","","","codex","","","","","","","",""
"2026-09-07T07:33:31.144Z","eval-aY8-2026-09-07T07:18:46","drupal-petshop","design-shell-update","main","fa80c5ecc56163e735418791659103cc3c09ca45","false","gpt-6-astra","pass","5","5","5933853","5782016","151837","20898","3573","5954751","884202","assets-ai/DESIGNBOOK-57/fixes/design-shell-update-astra/main.json","design-shell-update","assets-ai/DESIGNBOOK-57/fixes/design-shell-update-astra","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T07:33:32.007Z","eval-sTO-2026-09-07T07:15:32","drupal-petshop","design-component-update","main","fa80c5ecc56163e735418791659103cc3c09ca45","false","gpt-6-astra","pass","5","5","5743783","5568000","175783","26607","5617","5770390","1079691","assets-ai/DESIGNBOOK-57/fixes/design-component-update-astra/main.json","design-component-update","assets-ai/DESIGNBOOK-57/fixes/design-component-update-astra","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T07:34:20.751Z","eval-PG4-2026-09-07T07:14:22","drupal-petshop","design-shell","main","fa80c5ecc56163e735418791659103cc3c09ca45","false","gpt-6-astra","pass","5","5","4636154","4502144","134010","28146","6119","4664300","1197202","assets-ai/DESIGNBOOK-57/fixes/design-shell-astra/main.json","design-shell","assets-ai/DESIGNBOOK-57/fixes/design-shell-astra","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:32:32.256Z","eval-IkJ-2026-09-07T10:27:04","drupal-petshop","design-screen-update","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","858258","802304","55954","5560","318","863818","327286","assets-ai/DESIGNBOOK-57/hash-design-screen-update/main.json","design-screen-update","assets-ai/DESIGNBOOK-57/hash-design-screen-update","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:33:11.842Z","eval-UCA-2026-09-07T10:27:04","drupal-petshop","design-component-update","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","fail","3","5","1121869","1041024","80845","6883","572","1128752","366915","assets-ai/DESIGNBOOK-57/hash-design-component-update/main.json","design-component-update","assets-ai/DESIGNBOOK-57/hash-design-component-update","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:34:32.730Z","eval-96O-2026-09-07T10:27:04","drupal-petshop","design-entity-update","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","1996074","1916800","79274","7916","393","2003990","447847","assets-ai/DESIGNBOOK-57/hash-design-entity-update/main.json","design-entity-update","assets-ai/DESIGNBOOK-57/hash-design-entity-update","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:34:33.192Z","eval-eF5-2026-09-07T10:27:04","drupal-petshop","design-shell","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","fail","3","5","1530426","1448832","81594","9401","988","1539827","448183","assets-ai/DESIGNBOOK-57/hash-design-shell/main.json","design-shell","assets-ai/DESIGNBOOK-57/hash-design-shell","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:35:45.664Z","eval-hsC-2026-09-07T10:28:12","drupal-petshop","design-shell-update","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","1592205","1521792","70413","8070","281","1600275","452905","assets-ai/DESIGNBOOK-57/hash-design-shell-update/main.json","design-shell-update","assets-ai/DESIGNBOOK-57/hash-design-shell-update","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
